Dénomination,Raison Sociale,Responsable,Secteur,Activités,Produits,Adresse usine,District,Gouvernorat,Délégation,Téléphone siège/usine,Fax siège/usine,E-mail,URL,Régime,"Pays du Participant 
    Etranger",Entrée en production,Capital en DT,Emploi,Banque_Tunisienne_Associée
7 M,STE 7 M,Sami Ben Said,Industries agro-alimentaires,"Laiteries, fromageries et yaourterie.","Fromages à pâte molle, pressée, persillée à pâte cuite etc. - Fromages fondus, râpés ou en poudre.",DISTRICT INDUSTRIEL D'ENFIDHA - 4030 - ENFIDHA,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Enfidha,(216) - 20 578 142 / 94 493 691,,sami.abdennour@societe7m.com,,Totalement exportatrice,Libye - Allemagne,20/05/2019,1 500 000,18.0,Banque Zitouna
ABATTOIR AVICOLE ESSOUASSI,STE ABATTOIR AVICOLE ESSOUASSI,Fares Ghannouchi,Industries agro-alimentaires,Viandes de volailles et de lapins.,Viandes de volailles et de lapins.,Z.I. AFI - 5140 - SOUASSI,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Mahdia,Essouassi,(216) - 29 327 113 / 24 327 027,(216) - 73 611 147,commercial.saas2007@gmail.com,,Non totalement exportatrice,,01/09/2009,1 020 000,140.0,Attijari Bank
ABCO,AGRI BUSINESS COMPANY,Ezzeddine Bellagha,Industries agro-alimentaires,"Transformation, conservation, congélation et surgélation poisson et fruits de mer.",Conserves de poissons - Farines de poisson.,PORT DE PECHE - 8016 - SIDI DAOUD,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,El haouaria,(216) - 71 454 833 / 72 294 515,(216) - 71 454 832 / 72 294 984,abco@abco.tn,http://www.sididaoud.com,Non totalement exportatrice,,07/12/2000,7 500 000,400.0,Société tunisienne de banque
ABDELAZIZ MEDINI,ABDELAZIZ MEDINI,Walid Medini,Industries agro-alimentaires,Aliments pour animaux de ferme.,Aliments complets pour les animaux de ferme.,AMDOUN - 9030 - AMDOUN,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Beja,Amdoun,(216) - 95 431 713 / 78 469 362,,,,Non totalement exportatrice,,10/01/2009,-,11.0,Banque nationale agricole
ABID DE PRODUCTION D'HUILE EXTRA,STE ABID DE PRODUCTION D'HUILE EXTRA,Faouzi Abid,Industries agro-alimentaires,Huiles d'olives et conditionnement.,Huiles  d'olive.,RTE GREMDA KM 9 - 3000 - SFAX,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Sfax sud,(216) - 98 416 361,,,,Non totalement exportatrice,,21/12/2017,120 000,10.0,Attijari Bank
AC (SIDI BOUZID),STE LES ALIMENTS DU CENTRE,Tahar Tlili,Industries agro-alimentaires,Aliments pour animaux de ferme.,Aliments complets pour les animaux de ferme.,Z.I. - 9100 - SIDI BOUZID,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sidi Bouzid,Sidi bouzid ouest,(216) - 98 417 372,(216) - 76 634 496,,,Non totalement exportatrice,,01/06/1995,-,44.0,Arab Tunisian Bank
ACN,STE DES ALIMENTS COMPOSES DU NORD,Abdelhamid Omrane,Industries agro-alimentaires,Aliments pour animaux de ferme.,Aliments complets pour les animaux de ferme.,Z.I. BP 59 - 8020 - SOLIMAN,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Soliman,(216) - 22 602 665 / 72 390 039,(216) - 72 390 040,ridha.ghabara@acn.com.tn,,Non totalement exportatrice,,11/02/2006,8 200 000,160.0,Banque nationale agricole
ADAM EXPORT,STE ADAM EXPORT,Naceur H'richi,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Conditionnement de dattes.,Z.I. HAMMET JERID - 2200 - TOZEUR,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Tozeur,Tozeur,(216) - 20 100 102,,,,Totalement exportatrice,,01/10/2008,500 000,88.0,Société tunisienne de banque
AFRICA HUILE,STE AFRICA HUILE,Lotfi Tayehi,Industries agro-alimentaires,Huiles d'olives et conditionnement.,Huiles  d'olive.,AIN EL BIDHA - 3130 - HAFFOUZ,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Kairouan,Haffouz,(216) - 21 364 600,,,,Non totalement exportatrice,,01/12/2017,80 000,10.0,Banque internationale arabe de Tunisie
AFROST COMPAGNY,AFROST COMPAGNY,Nicolas Omotto,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Entreposage frigorifique de fruits et légumes.,2012 - EL HABIBIA,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Manouba,Djdeida,(216) - 52 003 020 / 98 680 090,(216) - 70 647 888,,,Totalement exportatrice,Italie,10/07/2010,1 800 000,30.0,Banque de Tunisie
